[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/clavier_alarme_1', payload '{"action_code":null,"action_transaction":null,"action_zone":null,"battery":100,"battery_low":false,"linkquality":204,"tamper":false,"update":{"installed_version":131077,"latest_version":131077,"state":"idle"},"voltage":5800}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/capteur_porte_entree', payload '{"battery":100,"contact":true,"device_temperature":27,"linkquality":140,"power_outage_count":31,"trigger_count":0,"voltage":3005}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/capteur_fenetre_entree', payload '{"battery":90,"contact":true,"device_temperature":35,"linkquality":200,"power_outage_count":16,"trigger_count":0,"voltage":2985}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bouton_garage_2', payload '{"battery":83,"device_temperature":23,"linkquality":116,"power_outage_count":7,"voltage":2975}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bouton_garage_1', payload '{"battery":100,"device_temperature":17,"linkquality":168,"power_outage_count":10,"voltage":3005}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/meteo_zigbee_chambre_parents', payload '{"battery":88,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":66.2,"humidity_calibration":2.1,"linkquality":112,"temperature":19,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/meteo_zigbee_entree', payload '{"battery":100,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":59.9,"humidity_calibration":0,"linkquality":200,"temperature":19.4,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_version":8960,"state":"idle"}}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/capteur_mouvements_garage_3', payload '{"battery":100,"illumination":"bright","linkquality":200,"motion_timeout":null,"occupancy":false,"update":{"installed_version":8705,"latest_version":8705,"state":"idle"},"voltage":2900}'
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prises', payload '{"state":"ON"}'
[2026-01-27 13:14:42] info: 	z2m: Zigbee2MQTT started!
[2026-01-27 13:14:42] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0xa4c1381bf7af1759/power_outage_memory/config', payload ''
